Auction ID;Start of Auction;Network Point Name Exit;Network Point EIC Exit;Network Point Type Exit;Network Point ID Exit;Network Point Name Entry;Network Point EIC Entry;Network Point Type Entry;Network Point ID Entry;Network Point Name Exit/Entry;Network Point EIC Exit/Entry;Network Point ID Exit/Entry;Published capacity;Published capacity unit;Marketable Capacity;Unit Marketable Capacity;Marketed Capacity;Unit Marketed Capacity;Regulated Tariff Exit TSO;Unit Regulated Exit Capacity Tariff;Regulated Tariff Entry TSO;Unit Regulated Entry Capacity Tariff;Surcharge;Unit Surcharge;Product Runtime Start;Product Runtime End;Capacity Category;TSO Exit;TSO EIC Exit;TSO Entry;TSO EIC Entry;Direction;Type of Gas;State
62247546;09.07.2026 06:00;;;;;Zone UGS EWE L-Gas (21W0000000000176);21W0000000000176;RESERVOIR;21W0000000000176;;;;1061793;kWh/h;1061793;kWh/h;0;kWh/h;;;0.95342237;cent/kWh/h/Runtime;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;;;Gastransport Nord GmbH;;Entry;L-gas;Finished
62247553;09.07.2026 06:00;Zone UGS EWE H-Gas (37Z000000007514V);37Z000000007514V;RESERVOIR;37Z000000007514V;;;;;;;;3292098;kWh/h;3292098;kWh/h;0;kWh/h;0.51338128;cent/kWh/h/Runtime;;;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;Gastransport Nord GmbH;21X000000001132O;;;Exit;H-gas;Finished
62247555;09.07.2026 06:00;;;;;Jemgum III (1BRA);21Z000000000269B;RESERVOIR;1BRA;;;;2681996;kWh/h;2681996;kWh/h;0;kWh/h;;;0.72534247;cent/kWh/h/Runtime;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;;;GASCADE Gastransport GmbH;;Entry;H-gas;Finished
62247556;09.07.2026 06:00;;;;;Nüttermoor (1BQA);21Z000000000267F;RESERVOIR;1BQA;;;;2681996;kWh/h;2681996;kWh/h;0;kWh/h;;;0.72534247;cent/kWh/h/Runtime;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;;;GASCADE Gastransport GmbH;;Entry;H-gas;Finished
62247557;09.07.2026 06:00;;;;;Jemgum I (1BMA);21Z000000000268D;RESERVOIR;1BMA;;;;2681996;kWh/h;2681996;kWh/h;0;kWh/h;;;0.72534247;cent/kWh/h/Runtime;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;;;GASCADE Gastransport GmbH;;Entry;H-gas;Finished
62247558;09.07.2026 06:00;Nüttermoor (1BQA);21Z000000000267F;RESERVOIR;1BQA;;;;;;;;1710000;kWh/h;1710000;kWh/h;0;kWh/h;0.72534247;cent/kWh/h/Runtime;;;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;GASCADE Gastransport GmbH;21X-DE-H-A0A0A-L;;;Exit;H-gas;Finished
62247559;09.07.2026 06:00;Jemgum I (1BMA);21Z000000000268D;RESERVOIR;1BMA;;;;;;;;11264996;kWh/h;11264996;kWh/h;0;kWh/h;0.72534247;cent/kWh/h/Runtime;;;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;GASCADE Gastransport GmbH;21X-DE-H-A0A0A-L;;;Exit;H-gas;Finished
62247560;09.07.2026 06:00;Jemgum III (1BRA);21Z000000000269B;RESERVOIR;1BRA;;;;;;;;2279997;kWh/h;2279997;kWh/h;0;kWh/h;0.72534247;cent/kWh/h/Runtime;;;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;GASCADE Gastransport GmbH;21X-DE-H-A0A0A-L;;;Exit;H-gas;Finished
62247561;09.07.2026 06:00;;;;;Bobbau (6CZA);21Z000000000372I;RESERVOIR;6CZA;;;;3228000;kWh/h;3228000;kWh/h;0;kWh/h;;;0.72534247;cent/kWh/h/Runtime;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;;;GASCADE Gastransport GmbH;;Entry;H-gas;Finished
62247563;09.07.2026 06:00;Speicherzone Nord (Rehden) (37Z0000000089417);37Z0000000089417;RESERVOIR;37Z0000000089417;;;;;;;;14029998;kWh/h;14029998;kWh/h;0;kWh/h;0.72534247;cent/kWh/h/Runtime;;;0.00;cent/kWh/h/Runtime;09.07.2026 10:00;10.07.2026 06:00;bFZK;GASCADE Gastransport GmbH;21X-DE-H-A0A0A-L;;;Exit;H-gas;Finished
